,temprature,date,time,humidity,condition,cloud_coverage,wind
0,27.090000000000032,2025-02-27,09:00:00,58,Clouds,56,6.93
1,26.230000000000018,2025-02-27,12:00:00,61,Clouds,76,6.53
2,23.32000000000005,2025-02-27,15:00:00,82,Clouds,92,5.49
3,22.930000000000007,2025-02-27,18:00:00,83,Clouds,95,5.99
4,22.340000000000032,2025-02-27,21:00:00,88,Clouds,100,5.56
5,22.150000000000034,2025-02-28,00:00:00,87,Clouds,100,5.82
6,22.629999999999995,2025-02-28,03:00:00,76,Clouds,100,5.71
7,25.860000000000014,2025-02-28,06:00:00,55,Clouds,99,7.6
8,26.75,2025-02-28,09:00:00,53,Clouds,100,9.21
9,25.230000000000018,2025-02-28,12:00:00,60,Clouds,100,8.73
10,23.30000000000001,2025-02-28,15:00:00,77,Clouds,100,6.95
11,22.75,2025-02-28,18:00:00,80,Clouds,68,6.45
12,21.79000000000002,2025-02-28,21:00:00,83,Clouds,60,5.76
13,21.29000000000002,2025-03-01,00:00:00,73,Clouds,63,5.54
14,21.74000000000001,2025-03-01,03:00:00,72,Clouds,100,3.17
15,24.910000000000025,2025-03-01,06:00:00,55,Clouds,85,1.59
16,27.55000000000001,2025-03-01,09:00:00,43,Clouds,19,4.32
17,25.900000000000034,2025-03-01,12:00:00,50,Clouds,19,6.35
18,22.970000000000027,2025-03-01,15:00:00,63,Clear,1,4.16
19,22.100000000000023,2025-03-01,18:00:00,65,Clear,1,3.74
20,21.260000000000048,2025-03-01,21:00:00,65,Clear,0,3.34
21,20.54000000000002,2025-03-02,00:00:00,68,Clear,0,3.09
22,21.189999999999998,2025-03-02,03:00:00,64,Clear,0,2.67
23,26.77000000000004,2025-03-02,06:00:00,33,Clear,0,4.81
24,28.83000000000004,2025-03-02,09:00:00,29,Clear,0,1.15
25,26.210000000000036,2025-03-02,12:00:00,45,Clear,0,6.73
26,23.55000000000001,2025-03-02,15:00:00,60,Clear,4,5.23
27,22.720000000000027,2025-03-02,18:00:00,65,Clear,3,4.84
28,21.900000000000034,2025-03-02,21:00:00,68,Clear,0,4.47
29,21.57000000000005,2025-03-03,00:00:00,79,Clear,3,5.3
30,22.600000000000023,2025-03-03,03:00:00,80,Clouds,30,5.59
31,26.08000000000004,2025-03-03,06:00:00,62,Clouds,18,6.98
32,27.560000000000002,2025-03-03,09:00:00,51,Clear,0,8.49
33,26.700000000000045,2025-03-03,12:00:00,49,Clear,0,8.45
34,23.760000000000048,2025-03-03,15:00:00,62,Clear,0,7.59
35,23.58000000000004,2025-03-03,18:00:00,30,Clear,2,4.62
36,21.05000000000001,2025-03-03,21:00:00,34,Clear,2,3.61
37,19.340000000000032,2025-03-04,00:00:00,24,Clouds,16,4.04
38,19.150000000000034,2025-03-04,03:00:00,20,Clouds,26,3.89
39,24.510000000000048,2025-03-04,06:00:00,13,Clouds,14,3.05
